"","Name","Position","Age","Season","Transfer_fee","League_to"
"1","Luís Figo","Right Winger","27","2000-2001",60000000,"LaLiga"
"2","Hernán Crespo","Centre-Forward","25","2000-2001",56810000,"Serie A"
"3","Marc Overmars","Left Winger","27","2000-2001",40000000,"LaLiga"
"4","Gabriel Batistuta","Centre-Forward","31","2000-2001",36150000,"Serie A"
"5","Nicolas Anelka","Centre-Forward","21","2000-2001",34500000,"Ligue 1"
"6","Rio Ferdinand","Centre-Back","22","2000-2001",26000000,"Premier League"
"7","Flávio Conceicao","Central Midfield","26","2000-2001",25000000,"LaLiga"
"8","Savo Milosevic","Centre-Forward","26","2000-2001",25000000,"Serie A"
"9","David Trézéguet","Centre-Forward","22","2000-2001",23240000,"Serie A"
"10","Claudio López","Centre-Forward","25","2000-2001",23000000,"Serie A"
"11","Jimmy Floyd Hasselbaink","Centre-Forward","28","2000-2001",22500000,"Premier League"
"12","Gerard López","Central Midfield","21","2000-2001",21600000,"LaLiga"
"13","Lucas","Centre-Forward","21","2000-2001",21300000,"Ligue 1"
"14","Pablo Aimar","Attacking Midfield","21","2000-2001",21250000,"LaLiga"
"15","Wálter Samuel","Centre-Back","22","2000-2001",20800000,"Serie A"
"16","Shabani Nonda","Centre-Forward","23","2000-2001",20000000,"Ligue 1"
"17","Robbie Keane","Centre-Forward","19","2000-2001",19500000,"Serie A"
"18","José Mari","Centre-Forward","21","2000-2001",19000000,"Serie A"
"19","Jonathan Zebina","Centre-Back","21","2000-2001",18400000,"Serie A"
"20","Émerson","Defensive Midfield","24","2000-2001",18000000,"Serie A"
"21","Sergiy Rebrov","Second Striker","26","2000-2001",18000000,"Premier League"
"22","Angelo Peruzzi","Goalkeeper","30","2000-2001",17900000,"Serie A"
"23","Diego Tristán","Centre-Forward","24","2000-2001",17750000,"LaLiga"
"24","Sylvain Wiltord","Second Striker","26","2000-2001",17500000,"Premier League"
"25","Fernando Redondo","Defensive Midfield","31","2000-2001",17500000,"Serie A"
"26","Nuno Gomes","Centre-Forward","24","2000-2001",17000000,"Serie A"
"27","Sérgio Conceição","Right Winger","25","2000-2001",17000000,"Serie A"
"28","Alfonso","Centre-Forward","27","2000-2001",16500000,"LaLiga"
"29","Francisco Farinós","Defensive Midfield","22","2000-2001",16250000,"Serie A"
"30","Kakhaber Kaladze","Centre-Back","22","2000-2001",16000000,"Serie A"
"31","Francis Jeffers","Centre-Forward","20","2000-2001",15300000,"Premier League"
"32","Emmanuel Petit","Defensive Midfield","29","2000-2001",15000000,"LaLiga"
"33","Tomás Rosicky","Attacking Midfield","20","2000-2001",14500000,"1.Bundesliga"
"34","Catanha","Centre-Forward","28","2000-2001",14420000,"LaLiga"
"35","Juan Pablo Ángel","Centre-Forward","25","2000-2001",14400000,"Premier League"
"36","Claude Makélélé","Defensive Midfield","27","2000-2001",14000000,"LaLiga"
"37","Aldo Duscher","Defensive Midfield","21","2000-2001",13000000,"LaLiga"
"38","Ugo Ehiogu","Centre-Back","27","2000-2001",12200000,"Premier League"
"39","Jesper Grönkjaer","Left Winger","23","2000-2001",11850000,"Premier League"
"40","Fabien Barthez","Goalkeeper","29","2000-2001",11700000,"Premier League"
"41","Edmílson","Centre-Back","23","2000-2001",11000000,"Ligue 1"
"42","Stéphane Dalmat","Central Midfield","21","2000-2001",10750000,"Ligue 1"
"43","Laurén","Right-Back","23","2000-2001",10700000,"Premier League"
"44","Pedro Munitis","Second Striker","25","2000-2001",10500000,"LaLiga"
"45","Olivier Dacourt","Defensive Midfield","25","2000-2001",10500000,"Premier League"
"46","Carl Cort","Centre-Forward","22","2000-2001",10500000,"Premier League"
"47","Stéphane Porato","Goalkeeper","26","2000-2001",10500000,"Ligue 1"
"48","Robert Pirès","Left Midfield","26","2000-2001",9800000,"Premier League"
"49","Émerson","Defensive Midfield","28","2000-2001",9600000,"LaLiga"
"50","Claudio Husaín","Defensive Midfield","25","2000-2001",9300000,"Serie A"
"51","Craig Bellamy","Left Winger","21","2000-2001",9250000,"Premier League"
"52","Mark Viduka","Centre-Forward","24","2000-2001",9150000,"Premier League"
"53","Pauleta","Centre-Forward","27","2000-2001",9100000,"Ligue 1"
"54","Alpay Özalan","Centre-Back","27","2000-2001",9000000,"Premier League"
"55","Christian Ziege","Left Midfield","28","2000-2001",9000000,"Premier League"
"56","Nick Barmby","Left Midfield","26","2000-2001",9000000,"Premier League"
"57","Marc-Vivien Foé","Central Midfield","25","2000-2001",9000000,"Ligue 1"
"58","Lúcio","Centre-Back","22","2000-2001",8750000,"1.Bundesliga"
"59","Christian Karembeu","Defensive Midfield","29","2000-2001",8750000,"Premier League"
"60","John Carew","Centre-Forward","20","2000-2001",8500000,"LaLiga"
"61","Mario Stanic","Right Winger","28","2000-2001",8400000,"Premier League"
"62","Igor Biscan","Centre-Back","22","2000-2001",8250000,"Premier League"
"63","Julio Cruz","Centre-Forward","25","2000-2001",8200000,"Serie A"
"64","Patrick Müller","Centre-Back","23","2000-2001",8000000,"Ligue 1"
"65","Zlatko Zahovic","Attacking Midfield","29","2000-2001",8000000,"LaLiga"
"66","Sabri Lamouchi","Central Midfield","28","2000-2001",7850000,"Serie A"
"67","Willy Sagnol","Right-Back","23","2000-2001",7700000,"1.Bundesliga"
"68","Johan Micoud","Attacking Midfield","26","2000-2001",7600000,"Serie A"
"69","Martín Palermo","Centre-Forward","27","2000-2001",7600000,"LaLiga"
"70","Ben Thatcher","Left-Back","24","2000-2001",7540000,"Premier League"
"71","Eidur Gudjohnsen","Centre-Forward","21","2000-2001",7500000,"Premier League"
"72","Bruno Cirillo","Centre-Back","23","2000-2001",7500000,"Serie A"
"73","Sunday Oliseh","Defensive Midfield","25","2000-2001",7500000,"1.Bundesliga"
"74","Dino Baggio","Defensive Midfield","29","2000-2001",7500000,"Serie A"
"75","Diego Placente","Left-Back","23","2000-2001",7300000,"1.Bundesliga"
"76","David Sesa","Second Striker","26","2000-2001",7250000,"Serie A"
"77","Dominic Matteo","Left-Back","26","2000-2001",7130000,"Premier League"
"78","Mauro Germán Camoranesi","Right Midfield","24","2000-2001",7000000,"Serie A"
"79","Luís Fabiano","Centre-Forward","19","2000-2001",7000000,"Ligue 1"
"80","Hermann Hreidarsson","Centre-Back","25","2000-2001",6750000,"Premier League"
"81","Émerson Thome","Centre-Back","28","2000-2001",6700000,"Premier League"
"82","Hakan Sükür","Centre-Forward","28","2000-2001",6500000,"Serie A"
"83","Philippe Delaye","Central Midfield","25","2000-2001",6500000,"Ligue 1"
"84","Alex Nyarko","Centre-Back","26","2000-2001",6300000,"Premier League"
"85","César Sánchez","Goalkeeper","28","2000-2001",6250000,"LaLiga"
"86","Patrick M'Boma","Centre-Forward","29","2000-2001",6100000,"Serie A"
"87","Claus Jensen","Attacking Midfield","23","2000-2001",6000000,"Premier League"
"88","Lucas Bernardi","Central Midfield","22","2000-2001",6000000,"Ligue 1"
"89","Frédéric Déhu","Centre-Back","27","2000-2001",6000000,"Ligue 1"
"90","Esteban Fuertes","Centre-Forward","27","2000-2001",6000000,"Ligue 1"
"91","Sebastián Cejas","Goalkeeper","26","2000-2001",6000000,"Serie A"
"92","Duncan Ferguson","Centre-Forward","28","2000-2001",5400000,"Premier League"
"93","Giorgi Demetradze","Centre-Forward","24","2000-2001",5400000,"LaLiga"
"94","Christian Bassedas","Attacking Midfield","27","2000-2001",5300000,"Premier League"
"95","José Luis Chilavert","Goalkeeper","35","2000-2001",5300000,"Ligue 1"
"96","Roberto Ayala","Centre-Back","27","2000-2001",5000000,"LaLiga"
"97","Viorel Moldovan","Centre-Forward","28","2000-2001",5000000,"Ligue 1"
"98","Vratislav Gresko","Left-Back","23","2000-2001",5000000,"Serie A"
"99","Giorgi Kinkladze","Attacking Midfield","27","2000-2001",5000000,"Premier League"
"100","Fernandão","Centre-Forward","22","2000-2001",5000000,"Ligue 1"
"101","Vicente","Left Winger","18","2000-2001",4800000,"LaLiga"
"102","Julio Arca","Central Midfield","19","2000-2001",4700000,"Premier League"
"103","Richard Dunne","Centre-Back","21","2000-2001",4500000,"Premier League"
"104","Gary Rowett","Right-Back","26","2000-2001",4500000,"Premier League"
"105","David Thompson","Right Midfield","22","2000-2001",4500000,"Premier League"
"106","Alessandro Pistone","Left-Back","24","2000-2001",4500000,"Premier League"
"107","Joseph-Désiré Job","Centre-Forward","22","2000-2001",4500000,"Premier League"
"108","Radostin Kishishev","Defensive Midfield","25","2000-2001",4500000,"Premier League"
"109","Bernard Diomède","Left Winger","26","2000-2001",4500000,"Premier League"
"110","Sixto Peralta","Central Midfield","21","2000-2001",4500000,"Serie A"
"111","Marquinhos","Attacking Midfield","18","2000-2001",4500000,"1.Bundesliga"
"112","Jonatan Johansson","Centre-Forward","24","2000-2001",4300000,"Premier League"
"113","Rodolfo Arruabarrena","Left-Back","24","2000-2001",4200000,"LaLiga"
"114","Rigobert Song","Centre-Back","24","2000-2001",4100000,"Premier League"
"115","José Francisco Molina","Goalkeeper","29","2000-2001",4100000,"LaLiga"
"116","Jörg Heinrich","Left Midfield","30","2000-2001",4100000,"1.Bundesliga"
"117","Adrian Mutu","Centre-Forward","21","2000-2001",4000000,"Serie A"
"118","Gianni Guigou","Defensive Midfield","25","2000-2001",4000000,"Serie A"
"119","Richard Dutruel","Goalkeeper","27","2000-2001",4000000,"LaLiga"
"120","Niclas Alexandersson","Right Midfield","28","2000-2001",3800000,"Premier League"
"121","Darren Huckerby","Right Winger","24","2000-2001",3800000,"Premier League"
"122","David Hopkin","Right Midfield","29","2000-2001",3750000,"Premier League"
"123","Alf-Inge Haland","Defensive Midfield","27","2000-2001",3750000,"Premier League"
"124","Lomana LuaLua","Second Striker","19","2000-2001",3750000,"Premier League"
"125","Steve Watson","Right Midfield","26","2000-2001",3750000,"Premier League"
"126","Lee Carsley","Defensive Midfield","26","2000-2001",3750000,"Premier League"
"127","Don Hutchison","Attacking Midfield","29","2000-2001",3750000,"Premier League"
"128","Didier Deschamps","Defensive Midfield","31","2000-2001",3500000,"LaLiga"
"129","Santiago Solari","Left Midfield","23","2000-2001",3500000,"LaLiga"
"130","Thomas Gravesen","Defensive Midfield","24","2000-2001",3500000,"Premier League"
"131","Jeong-hwan Ahn","Centre-Forward","23","2000-2001",3500000,"Serie A"
"132","Stephen Hughes","Defensive Midfield","23","2000-2001",3500000,"Premier League"
"133","Marc Wilmots","Attacking Midfield","31","2000-2001",3500000,"Ligue 1"
"134","Alen Boksic","Centre-Forward","30","2000-2001",3450000,"Premier League"
"135","Vratislav Lokvenc","Centre-Forward","26","2000-2001",3150000,"1.Bundesliga"
"136","Aleksey Smertin","Defensive Midfield","25","2000-2001",3000000,"Ligue 1"
"137","Stjepan Tomas","Centre-Back","24","2000-2001",3000000,"Serie A"
"138","Danny Higginbotham","Centre-Back","21","2000-2001",3000000,"Premier League"
"139","Andrew O'Brien","Centre-Back","21","2000-2001",3000000,"Premier League"
"140","Antonio Pacheco","Second Striker","24","2000-2001",3000000,"Serie A"
"141","Noel Whelan","Centre-Forward","25","2000-2001",3000000,"Premier League"
"142","Changui","Centre-Forward","23","2000-2001",3000000,"LaLiga"
"143","Shaun Bartlett","Centre-Forward","28","2000-2001",3000000,"Premier League"
"144","Oktay Derelioglu","Centre-Forward","24","2000-2001",3000000,"LaLiga"
"145","Bjørn Otto Bragstad","Centre-Back","29","2000-2001",3000000,"Premier League"
"146","Milan Fukal","Centre-Back","25","2000-2001",2900000,"1.Bundesliga"
"147","Marcel Ketelaer","Left Midfield","22","2000-2001",2800000,"1.Bundesliga"
"148","Bernard Mendy","Right-Back","18","2000-2001",2700000,"Ligue 1"
"149","Danijel Ljuboja","Centre-Forward","21","2000-2001",2700000,"Ligue 1"
"150","Gabriel Schürrer","Centre-Back","28","2000-2001",2700000,"LaLiga"
"151","Gary Naysmith","Left-Back","21","2000-2001",2630000,"Premier League"
"152","Christian Dailly","Centre-Back","27","2000-2001",2600000,"Premier League"
"153","Abdelilah Saber","Right-Back","26","2000-2001",2500000,"Serie A"
"154","Callum Davidson","Left-Back","24","2000-2001",2500000,"Premier League"
"155","Feliciano Magro","Attacking Midfield","21","2000-2001",2500000,"Serie A"
"156","Jean-François Gillet","Goalkeeper","21","2000-2001",2500000,"Serie A"
"157","Dimitar Berbatov","Centre-Forward","19","2000-2001",2500000,"1.Bundesliga"
"158","Edgaras Jankauskas","Centre-Forward","25","2000-2001",2300000,"LaLiga"
"159","Ciriaco Sforza","Central Midfield","30","2000-2001",2300000,"1.Bundesliga"
"160","Karel Poborsky","Right Midfield","28","2000-2001",2250000,"Serie A"
"161","Trevor Benjamin","Centre-Forward","21","2000-2001",2250000,"Premier League"
"162","Francesc Arnau","Goalkeeper","25","2000-2001",2100000,"LaLiga"
"163","Bernt Haas","Right-Back","22","2000-2001",2100000,"Premier League"
"164","Pascal Ojigwe","Defensive Midfield","23","2000-2001",2100000,"1.Bundesliga"
"165","Chris Makin","Left-Back","27","2000-2001",2100000,"Premier League"
"166","Frank Verlaat","Centre-Back","32","2000-2001",2100000,"1.Bundesliga"
"167","Ashley Ward","Centre-Forward","29","2000-2001",2100000,"Premier League"
"168","Elvir Bolic","Centre-Forward","28","2000-2001",2000000,"LaLiga"
"169","Aleksandr Panov","Centre-Forward","24","2000-2001",2000000,"Ligue 1"
"170","Slavisa Jokanovic","Defensive Midfield","32","2000-2001",1900000,"Premier League"
"171","José Amavisca","Left Midfield","29","2000-2001",1900000,"LaLiga"
"172","Ivica Banovic","Defensive Midfield","19","2000-2001",1900000,"1.Bundesliga"
"173","Tommy Berntsen","Centre-Back","27","2000-2001",1880000,"1.Bundesliga"
"174","Sergej Barbarez","Second Striker","28","2000-2001",1800000,"1.Bundesliga"
"175","Radek Bejbl","Defensive Midfield","27","2000-2001",1800000,"Ligue 1"
"176","Yago Yao","Centre-Back","21","2000-2001",1800000,"LaLiga"
"177","Zinédine Zidane","Attacking Midfield","29","2001-2002",77500000,"LaLiga"
"178","Gianluigi Buffon","Goalkeeper","23","2001-2002",52880000,"Serie A"
"179","Gaizka Mendieta","Right Midfield","27","2001-2002",48000000,"Serie A"
"180","Juan Sebastián Verón","Central Midfield","26","2001-2002",42600000,"Premier League"
"181","Rui Costa","Attacking Midfield","29","2001-2002",42000000,"Serie A"
"182","Lilian Thuram","Centre-Back","29","2001-2002",41500000,"Serie A"
"183","Pavel Nedved","Left Midfield","28","2001-2002",38700000,"Serie A"
"184","Filippo Inzaghi","Centre-Forward","27","2001-2002",37000000,"Serie A"
"185","Javier Saviola","Second Striker","19","2001-2002",35900000,"LaLiga"
"186","Ruud van Nistelrooy","Centre-Forward","25","2001-2002",28500000,"Premier League"
"187","Antonio Cassano","Second Striker","18","2001-2002",28500000,"Serie A"
"188","Hidetoshi Nakata","Attacking Midfield","24","2001-2002",28400000,"Serie A"
"189","Francesco Toldo","Goalkeeper","29","2001-2002",26500000,"Serie A"
"190","Jaap Stam","Centre-Back","29","2001-2002",25750000,"Serie A"
"191","Márcio Amoroso","Centre-Forward","27","2001-2002",25500000,"1.Bundesliga"
"192","Stefano Fiore","Attacking Midfield","26","2001-2002",25000000,"Serie A"
"193","Marcelo Salas","Centre-Forward","26","2001-2002",25000000,"Serie A"
"194","Geovanni","Attacking Midfield","21","2001-2002",21000000,"LaLiga"
"195","Andrea Pirlo","Defensive Midfield","22","2001-2002",18000000,"Serie A"
"196","Sérgio Conceição","Right Winger","26","2001-2002",18000000,"Serie A"
"197","Robbie Keane","Centre-Forward","20","2001-2002",18000000,"Premier League"
"198","Sergio","Central Midfield","24","2001-2002",17900000,"LaLiga"
"199","Steve Marlet","Centre-Forward","27","2001-2002",17600000,"Premier League"
"200","Philippe Christanval","Centre-Back","22","2001-2002",17000000,"LaLiga"
"201","Evanilson","Right-Back","25","2001-2002",17000000,"Serie A"
"202","Robbie Fowler","Centre-Forward","26","2001-2002",16800000,"Premier League"
"203","Frank Lampard","Central Midfield","23","2001-2002",16000000,"Premier League"
"204","Javi Moreno","Centre-Forward","26","2001-2002",16000000,"Serie A"
"205","Luca Toni","Centre-Forward","24","2001-2002",15500000,"Serie A"
"206","Cristian Zenoni","Right-Back","24","2001-2002",15500000,"Serie A"
"207","Darko Kovacevic","Centre-Forward","27","2001-2002",15000000,"Serie A"
"208","Massimo Donati","Defensive Midfield","20","2001-2002",15000000,"Serie A"
"209","Laurent Robert","Left Winger","26","2001-2002",14330000,"Premier League"
"210","Ivan Pelizzoli","Goalkeeper","20","2001-2002",14000000,"Serie A"
"211","Giovanni van Bronckhorst","Left-Back","26","2001-2002",13500000,"Premier League"
"212","Adriano","Centre-Forward","19","2001-2002",13190000,"Serie A"
"213","Mohamed Kallon","Centre-Forward","21","2001-2002",13000000,"Serie A"
"214","Goran Drulic","Centre-Forward","24","2001-2002",13000000,"LaLiga"
"215","Andy Cole","Centre-Forward","30","2001-2002",12200000,"Premier League"
"216","Dean Richards","Centre-Back","27","2001-2002",12150000,"Premier League"
"217","Éric Carrière","Attacking Midfield","28","2001-2002",12000000,"Ligue 1"
"218","Daniel Van Buyten","Centre-Back","23","2001-2002",11500000,"Ligue 1"
"219","Seth Johnson","Central Midfield","22","2001-2002",11500000,"Premier League"
"220","Emmanuel Petit","Defensive Midfield","30","2001-2002",11500000,"Premier League"
"221","Juan Carlos Valerón","Attacking Midfield","26","2001-2002",11000000,"LaLiga"
"222","Cristiano Zanetti","Defensive Midfield","24","2001-2002",11000000,"Serie A"
"223","Diego Forlán","Second Striker","22","2001-2002",11000000,"Premier League"
"224","Mario Turdó","Centre-Forward","22","2001-2002",10820000,"Ligue 1"
"225","Salva Ballesta","Centre-Forward","26","2001-2002",10800000,"LaLiga"
"226","Corrado Grabbi","Centre-Forward","25","2001-2002",10700000,"Premier League"
"227","Jan Koller","Centre-Forward","28","2001-2002",10500000,"1.Bundesliga"
"228","Marco Materazzi","Centre-Back","27","2001-2002",10500000,"Serie A"
"229","Edwin van der Sar","Goalkeeper","30","2001-2002",10300000,"Premier League"
"230","Martin Djetou","Centre-Back","26","2001-2002",9750000,"Serie A"
"231","Gareth Southgate","Centre-Back","30","2001-2002",9750000,"Premier League"
"232","Hugo Leal","Central Midfield","21","2001-2002",9500000,"Ligue 1"
"233","William Gallas","Centre-Back","23","2001-2002",9300000,"Premier League"
"234","Martin Laursen","Centre-Back","23","2001-2002",9300000,"Serie A"
"235","Craig Bellamy","Left Winger","21","2001-2002",9000000,"Premier League"
"236","Fábio Rochemback","Central Midfield","19","2001-2002",9000000,"LaLiga"
"237","Lucas Bernardi","Central Midfield","23","2001-2002",9000000,"Ligue 1"
"238","Richard Wright","Goalkeeper","23","2001-2002",9000000,"Premier League"
"239","Péguy Luyindula","Centre-Forward","22","2001-2002",8800000,"Ligue 1"
"240","Edú Gaspar","Central Midfield","23","2001-2002",8750000,"Premier League"
"241","Flavio Roma","Goalkeeper","27","2001-2002",8500000,"Ligue 1"
"242","Tomás Repka","Centre-Back","27","2001-2002",8250000,"Premier League"
"243","Chris Kirkland","Goalkeeper","20","2001-2002",8200000,"Premier League"
"244","Claudio Pizarro","Centre-Forward","22","2001-2002",8200000,"1.Bundesliga"
"245","Alex","Attacking Midfield","23","2001-2002",8000000,"Serie A"
"246","Darko Kovacevic","Centre-Forward","28","2001-2002",8000000,"LaLiga"
"247","Boudewijn Zenden","Left Winger","24","2001-2002",8000000,"Premier League"
"248","Patrik Andersson","Centre-Back","29","2001-2002",8000000,"LaLiga"
"249","Bosko Balaban","Centre-Forward","22","2001-2002",7800000,"Premier League"
"250","Jermaine Jenas","Central Midfield","18","2001-2002",7500000,"Premier League"
"251","Fernando Meira","Centre-Back","23","2001-2002",7500000,"1.Bundesliga"
"252","Jason Euell","Second Striker","24","2001-2002",7500000,"Premier League"
"253","Giuliano Giannichedda","Defensive Midfield","26","2001-2002",7500000,"Serie A"
"254","Robert Kovac","Centre-Back","27","2001-2002",7500000,"1.Bundesliga"
"255","Frédéric Née","Centre-Forward","26","2001-2002",7500000,"Ligue 1"
"256","Don Hutchison","Attacking Midfield","30","2001-2002",7500000,"Premier League"
"257","Peter Crouch","Centre-Forward","21","2001-2002",7500000,"Premier League"
"258","Jerzy Dudek","Goalkeeper","28","2001-2002",7400000,"Premier League"
"259","Ewerthon","Centre-Forward","20","2001-2002",7100000,"1.Bundesliga"
"260","Marcelinho Paraíba","Attacking Midfield","26","2001-2002",7000000,"1.Bundesliga"
"261","Javier Chevantón","Centre-Forward","20","2001-2002",7000000,"Serie A"
"262","Cosmin Contra","Right-Back","25","2001-2002",7000000,"Serie A"
"263","Camel Meriem","Attacking Midfield","22","2001-2002",7000000,"Ligue 1"
"264","Jesper Blomqvist","Left Midfield","27","2001-2002",7000000,"Premier League"
"265","Nelson Vivas","Right-Back","31","2001-2002",7000000,"Serie A"
"266","Milan Baros","Centre-Forward","20","2001-2002",7000000,"Premier League"
"267","Olof Mellberg","Centre-Back","23","2001-2002",6800000,"Premier League"
"268","Szilard Nemeth","Second Striker","23","2001-2002",6750000,"Premier League"
"269","Tomasz Radzinski","Centre-Forward","27","2001-2002",6750000,"Premier League"
"270","Claudio Reyna","Central Midfield","28","2001-2002",6700000,"Premier League"
"271","Steed Malbranque","Central Midfield","21","2001-2002",6600000,"Premier League"
"272","Christian Ziege","Left Midfield","29","2001-2002",6500000,"Premier League"
"273","Joan Capdevila","Left-Back","23","2001-2002",6400000,"LaLiga"
"274","Matteo Sereni","Goalkeeper","26","2001-2002",6250000,"Premier League"
"275","Bart Goor","Left Midfield","28","2001-2002",6250000,"1.Bundesliga"
"276","John Arne Riise","Left-Back","20","2001-2002",6100000,"Premier League"
"277","Luke Young","Right-Back","21","2001-2002",6000000,"Premier League"
"278","Rory Delap","Central Midfield","25","2001-2002",6000000,"Premier League"
"279","Goran Bunjevcevic","Centre-Back","28","2001-2002",6000000,"Premier League"
"280","Antonio Guayre","Right Winger","21","2001-2002",6000000,"LaLiga"
"281","Gonzalo Sorondo","Centre-Back","21","2001-2002",6000000,"Serie A"
"282","Zoltan Sebescen","Right-Back","25","2001-2002",6000000,"1.Bundesliga"
"283","Lamberto Zauli","Attacking Midfield","30","2001-2002",6000000,"Serie A"
"284","Agustín Delgado","Centre-Forward","27","2001-2002",5750000,"Premier League"
"285","Joey Gudjónsson","Central Midfield","21","2001-2002",5630000,"LaLiga"
"286","Bernardo Romeo","Centre-Forward","24","2001-2002",5620000,"1.Bundesliga"
"287","Didier Domi","Left-Back","23","2001-2002",5580000,"Ligue 1"
"288","Niko Kovac","Defensive Midfield","29","2001-2002",5500000,"1.Bundesliga"
"289","Sylvain Legwinski","Left Midfield","28","2001-2002",5250000,"Premier League"
"290","Jon Harley","Left-Back","21","2001-2002",5250000,"Premier League"
"291","Nicolás Medina","Defensive Midfield","19","2001-2002",5250000,"Premier League"
"292","Ronaldinho","Attacking Midfield","21","2001-2002",5100000,"Ligue 1"
"293","Victor Agali","Centre-Forward","22","2001-2002",5100000,"1.Bundesliga"
"294","Nihat Kahveci","Centre-Forward","22","2001-2002",5000000,"LaLiga"
"295","César","Left Midfield","26","2001-2002",5000000,"Serie A"
"296","Christian Panucci","Right-Back","28","2001-2002",5000000,"Serie A"
"297","Ezequiel González","Attacking Midfield","20","2001-2002",5000000,"Serie A"
"298","Eduardo Costa","Defensive Midfield","18","2001-2002",5000000,"Ligue 1"
"299","Ümit Davala","Right Midfield","28","2001-2002",5000000,"Serie A"
"300","Sander Westerveld","Goalkeeper","27","2001-2002",5000000,"LaLiga"
"301","Lilian Laslandes","Centre-Forward","29","2001-2002",5000000,"Premier League"
"302","João Tomás","Centre-Forward","26","2001-2002",5000000,"LaLiga"
"303","Delfim","Central Midfield","24","2001-2002",5000000,"Ligue 1"
"304","Jörg Albertz","Left Midfield","30","2001-2002",5000000,"1.Bundesliga"
"305","David James","Goalkeeper","30","2001-2002",4800000,"Premier League"
"306","Aníbal Matellán","Centre-Back","24","2001-2002",4800000,"1.Bundesliga"
"307","Jérôme Rothen","Left Midfield","23","2001-2002",4500000,"Ligue 1"
"308","Marcus Bent","Centre-Forward","23","2001-2002",4500000,"Premier League"
"309","Patrick M'Boma","Centre-Forward","31","2001-2002",4500000,"Premier League"
"310","Matthew Jones","Central Midfield","20","2001-2002",4500000,"Premier League"
"311","James Scowcroft","Centre-Forward","25","2001-2002",4500000,"Premier League"
"312","Jacek Bak","Centre-Back","28","2001-2002",4300000,"Ligue 1"
"313","Pablo Contreras","Centre-Back","22","2001-2002",4200000,"LaLiga"
"314","Finidi George","Right Winger","30","2001-2002",4200000,"Premier League"
"315","François Grenet","Right-Back","26","2001-2002",4190000,"Premier League"
"316","Lincoln","Attacking Midfield","22","2001-2002",4000000,"1.Bundesliga"
"317","Brahim Hemdani","Defensive Midfield","23","2001-2002",4000000,"Ligue 1"
"318","Mustapha Hadji","Attacking Midfield","29","2001-2002",4000000,"Premier League"
"319","Alberto Gilardino","Centre-Forward","19","2001-2002",3870000,"Serie A"
"320","Mario Yepes","Centre-Back","25","2001-2002",3800000,"Ligue 1"
"321","Sylvinho","Left-Back","27","2001-2002",3800000,"LaLiga"
"322","Toifilou Maoulida","Centre-Forward","22","2001-2002",3800000,"Ligue 1"
"323","Tobias Linderoth","Defensive Midfield","22","2001-2002",3750000,"Premier League"
"324","Ian Walker","Goalkeeper","29","2001-2002",3750000,"Premier League"
"325","Gabriel Heinze","Centre-Back","23","2001-2002",3500000,"Ligue 1"
"326","Vitali Kutuzov","Centre-Forward","21","2001-2002",3500000,"Serie A"
"327","Yksel Osmanovski","Left Midfield","24","2001-2002",3500000,"Serie A"
"328","Gustavo Poyet","Attacking Midfield","33","2001-2002",3400000,"Premier League"
"329","Abdeslam Ouaddou","Centre-Back","22","2001-2002",3300000,"Premier League"
"330","Martin Petrov","Left Winger","22","2001-2002",3250000,"1.Bundesliga"
"331","Yildiray Bastürk","Attacking Midfield","22","2001-2002",3250000,"1.Bundesliga"
"332","Sebastian Kehl","Defensive Midfield","21","2001-2002",3200000,"1.Bundesliga"
"333","Olivier Monterrubio","Left Midfield","24","2001-2002",3000000,"Ligue 1"
"334","Diego Klimowicz","Centre-Forward","27","2001-2002",3000000,"1.Bundesliga"
"335","Olivier Sorlin","Defensive Midfield","22","2001-2002",3000000,"Ligue 1"
"336","Nils-Eric Johansson","Left-Back","21","2001-2002",3000000,"Premier League"
"337","Hakan Ünsal","Left-Back","28","2001-2002",3000000,"Premier League"
"338","Alberto Fontana","Goalkeeper","34","2001-2002",3000000,"Serie A"
"339","Jason McAteer","Right Midfield","30","2001-2002",3000000,"Premier League"
"340","Marco Reich","Left Midfield","23","2001-2002",3000000,"1.Bundesliga"
"341","Roy Carroll","Goalkeeper","23","2001-2002",3000000,"Premier League"
"342","Jonathan Greening","Central Midfield","22","2001-2002",3000000,"Premier League"
"343","Miroslav Karhan","Central Midfield","25","2001-2002",2750000,"1.Bundesliga"
"344","Brett Ormerod","Centre-Forward","25","2001-2002",2650000,"Premier League"
"345","Daniel Andersson","Centre-Back","23","2001-2002",2500000,"Serie A"
"346","Fatih Akyel","Right-Back","23","2001-2002",2500000,"LaLiga"
"347","Luigi Sala","Centre-Back","27","2001-2002",2500000,"Serie A"
"348","Pascal Nouma","Centre-Forward","29","2001-2002",2500000,"Ligue 1"
"349","Dennis Wise","Defensive Midfield","34","2001-2002",2400000,"Premier League"
"350","Luís Boa Morte","Left Midfield","23","2001-2002",2300000,"Premier League"
"351","Mark Wilson","Central Midfield","22","2001-2002",2300000,"Premier League"
"352","Bruno Basto","Left-Back","23","2001-2002",2280000,"Ligue 1"
"353","Mehdi Mahdavikia","Right Midfield","23","2001-2002",2250000,"1.Bundesliga"
"354","Mate Bilic","Centre-Forward","20","2001-2002",2250000,"LaLiga"
